numero di parole,PAROLE_ESSENZIALI,1sost2Verbi3Agg4Avv,PAROLA,LetteraIniziale,ContieneDoppie,CosaE,DeMauro,COLFISfASS,Nsillabe,Sillaba1,Sillaba2,Sillaba3,Sillaba4,Sillaba5,Sillaba6,NonParola1_similexfinale,NonParola2_similexiniziali,FRASE,ChiCosComDovQuaPer,ChiCosComDovQuaPerCorr,ChiCosComDovQuaPerErr1,ChiCosComDovQuaPerErr2,,FrasiOhO,FraseOhO,corretta,errata,,articoloIndizio,fraseArticoli,par_F_sing,par_F_plur,par_M_sing,par_M_plur,,CECISONOCISARANNO,FraseCECISON,Passato,Presente,Futuro,Indizio_parte_del_testo,Indizio,parte_da_eliminareCORRETTA,Errata1,Errata2,ConsonanteVocale,,PAROLA,1Animali,1Vegetali,2PartidelCorpo,2Abbigliamento,2MangiareeBere,2Mobilia,2MezzoT
583,1,1,moto,m,2,s.,1,201,2,mo,to,,,,,boto,mobo,A maggio ci sarà la famosa gara di moto,Quando sarà la gara di moto?,Maggio,Giugno,Marzo,,A maggio ci sarà la famosa gara di moto ,... maggio ci sarà la famosa gara di moto ,A,HA,,par_F_sing,A maggio ci sarà la famosa ... di moto,gara,sfide,vincitore,,,Domani in televisione ci sarà la gara di moto in diretta ,Domani in televisione ... la gara di moto in diretta,0,0,1,SI,FUTURO,ci sarà,ci saranno,ci sono,CVCV,,moto,,,,,,,1
584,,1,mozzarella,m,1,s.,2,7,4,moz,za,rel,la,,,gazzarella,mozzaretta,D'estate mi piace la pasta con pomodoro e mozzarella,"D'estate, la pasta mi piace con pomodoro e...",Mozzarella,Olive,Ricotta,,,,,,,,,,,,,,,,,,,,,,,,CVCCVCVCCV,,mozzarella,,,,,1,,
585,1,1,mucca,m,1,s.,3,4,2,muc,ca,,,,,bicca,muchi,I pastori portano le mucche a pascolare sui prati ,Chi porta le mucche a pascolare sui prati?,I pastori,I veterinari,Gli alpinisti ,,Esistono le mucche a macchie ma non a righe,Esistono le mucche ... macchie ma non a righe,A,HA,,par_F_sing,La ... strappa i ciuffi d'erba e poi li mastica a lungo in bocca ,mucca,rondini,toro,,,Domani ci saranno molte mucche che usciranno dalle stalle per pascolare sul prato,Domani ... molte mucche che usciranno dalle stalle per pascolare sul prato,0,0,1,SI,FUTURO,ci saranno,ci sarà,c'erano,CVCCV,,mucca,1,,,,,,
586,1,1,mummia,m,1,s.,2,6,2,mum,mia,,,,,tommia,mummai,Al museo egizio c'erano anche le mummie,Dove c'erano le mummie?,Museo egizio,Egitto,Piramidi,,,,,,,,,,,,,,Al museo egizio c'erano anche le mummie,Al museo egizio ... anche le mummie,1,0,0,NO,PASSATO,c'erano,ci sono,c'era,CVCCVV,,mummia,,,,,,,
587,,1,mutanda,m,2,s.,3,6,3,mu,tan,da,,,,metenda,muterba,Emma ha comprato delle mutande a righe,Cosa ha comprato Emma?,Mutande,Magliette,Calzini,,Emma ha comprato delle mutande a righe,Emma ha comprato delle mutande ... righe,A,HA,,,,,,,,,,,,,,,,,,,CVCVCCV,,mutanda,,,,1,,,
588,,4,maggiormente,m,1,avv.,3,61,4,mag,gior,men,te,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCCVVCCVCCV,,maggiormente,,,,,,,
589,,4,malgrado,m,2,avv. s.,3,130,3,mal,gra,do,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCCCVCV,,malgrado,,,,,,,
590,,4,meglio,m,2,avv,1,1273,2,me,glio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCCVV,,meglio,,,,,,,
591,,4,meno,m,2,avv agg,1,1980,2,me,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCV,,meno,,,,,,,
592,,4,mezzo,m,1,"agg. s,",1,1044,2,mez,zo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCCV,,mezzo,,,,,,,
593,,2,mancare,m,2,v,1,69,3,man,ca,re,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCCVCV,,mancare,,,,,,,
594,,2,mandare,m,2,v,1,98,3,man,da,re,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCCVCV,,mandare,,,,,,,
595,,2,mangiare,m,2,v.,1,207,3,man,gia,re,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCCVVCV,,mangiare,,,,,,,
596,,2,mentire,m,2,v,1,19,3,men,ti,re,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCCVCV,,mentire,,,,,,,
597,,2,meritare,m,2,v,1,19,4,me,ri,ta,re,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVCVCV,,meritare,,,,,,,
598,,2,miagolare,m,2,v,2,0,4,mia,go,la,re,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVVCVCVCV,,miagolare,,,,,,,
599,,2,migliorare,m,2,v,1,102,4,mi,glio,ra,re,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCCVVCVCV,,migliorare,,,,,,,
600,,2,minacciare,m,1,v,1,15,4,mi,nac,cia,re,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVCCVVCV,,minacciare,,,,,,,
601,,2,mordere,m,2,v,3,10,3,mor,de,re,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCCVCV,,mordere,,,,,,,
602,,2,mostrare,m,2,v,1,64,3,mo,stra,re,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCCCVCV,,mostrare,,,,,,,
603,,2,mugolare,m,2,v,2,1,4,mu,go,la,re,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVCVCV,,mugolare,,,,,,,
604,,2,mutare,m,2,v,3,20,3,mu,ta,re,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVCV,,mutare,,,,,,,
605,,3,maestro,m,2,agg,1,219,3,ma,e,stro,,,,emsatro,mastore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVVCCCV,,maestro,,,,,,,
606,,3,maggiorenne,m,1,agg,2,9,4,mag,gio,ren,ne,,,giomagrenne,manniogge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCCVVCVCCV,,maggiorenne,,,,,,,
607,,3,magico,m,2,agg,1,78,3,ma,gi,co,,,,gimaco,macogi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVCV,,magico,,,,,,,
608,,3,malato,m,2,agg,1,128,3,ma,la,to,,,,lumato,matola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVCV,,malato,,,,,,,
609,,3,maleducato,m,2,agg,2,1,5,ma,le,du,ca,to,,dulemacato,matocadule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVCVCVCV,,maleducato,,,,,,,
610,,3,mancino,m,2,agg,2,52,3,man,ci,no,,,,gnimano,manonci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCCVCV,,mancino,,,,,,,
611,,3,marcio,m,2,agg,3,11,2,mar,cio,,,,,ramcio,macrio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCCVV,,marcio,,,,,,,
612,,3,maturo,m,2,agg,3,30,3,ma,tu,ro,,,,tumaro,marotu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVCV,,maturo,,,,,,,
613,,3,metallico,m,1,agg,3,11,4,me,tal,li,co,,,tallimeco,mecollita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVCCVCV,,metallico,,,,,,,
614,,3,minore,m,2,agg,1,176,3,mi,no,re,,,,nomire,mirone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVCV,,minore,,,,,,,
615,,3,minuscolo,m,2,agg,3,30,4,mi,nu,sco,lo,,,deviscolo,minuzila,Alcuni insetti sono minuscoli,Come sono alcuni insetti?,Minuscoli,Muscoli,Grandissimi,,La nonna ha dei piedi minuscoli,La nonna ... dei piedi minuscoli,HA,A,,,,,,,,,"Nel giardino, ci saranno dei semi minuscoli che daranno piante grandissime","Nel giardino, ... dei semi minuscoli che daranno piante grandissime",0,0,1,NO,FUTURO,ci saranno,c'è,c'erano,CVCVCCVCV,,minuscolo,,,,,,,
616,,3,misterioso,m,2,agg,3,95,4,mi,ste,rio,so,,,steriomiso,miriosteso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCCVCVVCV,,misterioso,,,,,,,
617,,3,modesto,m,2,agg,3,54,3,mo,de,sto,,,,domesto,mostode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVCCV,,modesto,,,,,,,
618,,3,morbido,m,2,agg,3,37,3,mor,bi,do,,,,birmodo,mobrodi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCCVCV,,morbido,,,,,,,
619,,3,moro,m,2,agg,3,68,2,mo,ro,,,,,oiro,mopi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCV,,moro,,,,,,,
620,,3,muto,m,2,agg,3,28,2,mu,to,,,,,into,mudu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCV,,muto,,,,,,,
621,,1,macedonia,m,2,s.,4,6,4,ma,ce,do,nia,,,nadedonia,macetomie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVCVCVV,,macedonia,,,,,1,,
622,,1,medusa,m,2,s.,4,4,3,me,du,sa,,,,vedusa,meduze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVCV,,medusa,1,,,,,,
623,,1,mammut,m,1,s.,4,2,2,mam,mut,,,,,bonmut,mannol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCCVC,,mammut,1,,,,,,
624,,1,maniglia,m,2,s.,4,9,3,ma,ni,glia,,,,temiglia,manichio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVCCVV,,maniglia,,,,,,,
625,,3,macchiato,m,1,agg,4,15,3,mac,chia,to,,,,bagghiato,macciaro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCCCVVCV,,macchiato,,,,,,,
626,1,1,nano,n,2,s. agg.,3,10,2,na,no,,,,,buno,nagu,I nani possono essere dolci e gentili o astuti e cattivi,Come possono essere i nani?,Gentili ,Dolci o salati,Simpatici o musoni,,I nani possono essere dolci e gentili o astuti e cattivi,I nani possono essere dolci e gentili ... astuti e cattivi,O,HO,,par_M_plur,I ... possono essere dolci e gentili o astuti e cattivi,,fate,gnomo,nani,,"Nei boschi, ci sono i nani: alcuni sono buoni e gentili, altri molto astuti","Nei boschi,... i nani: alcuni sono buoni e gentili, altri molto astuti",0,1,0,NO,PRESENTE,ci sono,c'erano,c'è,CVCV,,nano,,,,,,,
627,1,1,naso,n,2,s.,1,125,2,na,so,,,,,veso,nafi,A Pinocchio cresce il naso se dice bugie,Cosa cresce a Pinocchio se dice bugie?,Naso,Bugie,Piede,,A Pinocchio cresce il naso se dice bugie,... Pinocchio cresce il naso se dice bugie,A,HA,,par_M_sing,A Pinocchio cresce il ... se dice bugie,,dita,naso,piedi,,Nello spettacolo ci sarà il pagliaccio con il naso rosso,Nello spettacolo ... il pagliaccio con il naso rosso,0,0,1,NO,FUTURO,ci sarà,ci sono,ci saranno,CVCV,,naso,,,1,,,,
628,,1,natale,n,2,s. agg.,3,251,3,na,ta,le,,,,tanale,naleto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVCV,,natale,,,,,,,
629,1,1,nave,n,2,s.,1,127,2,na,ve,,,,,meve,naga,Sulla nave c'era il pirata insieme a tutta la ciurma,Dove era il pirata? ,Nave,Mare,Veliero,,Sulla nave c'era il pirata insieme a tutta la ciurma,Sulla nave c'era il pirata insieme ... tutta la ciurma,A,HA,,par_M_sing,Sulla nave c'era il ... insieme a tutta la ciurma,ancora,,pirata,gabbiani,,Sulla nave c'era il pirata insieme a tutta la ciurma,Sulla nave ... il pirata insieme a tutta la ciurma,1,0,0,NO,PASSATO,c'era,c'è,ci sono,CVCV,,nave,,,,,,,1
630,1,1,navicella,n,1,s.,2,3,4,na,vi,cel,la,,,meticella,navillace,La navicella spaziale ha portato gli alieni,Cosa ha portato la navicella spaziale?,Alieni,Astronauti,Insetti,,La navicella spaziale ha portato gli alieni,La navicella spaziale ... portato gli alieni,HA,A,,par_M_plur,La navicella spaziale ha portato gli ...,stelle,navi,,astronauti,,In futuro ci saranno navicelle spaziali invece degli autobus,In futuro ... navicelle spaziali invece degli autobus,0,0,1,SI,FUTURO,ci saranno,ci sono ,c'erano,CVCVCVCCV,,navicella,,,,,,,1
631,1,1,neve,n,2,s.,1,184,2,ne,ve,,,,,teve,negi,D'inverno scende la neve,Quando scende la neve?,Inverno,Gennaio,Inferno,,,,,,,par_F_sing,D'inverno scende la ...,neve,foglie,,venti,,,,,,,,,,,,CVCV,,neve,,,,,,,
632,1,1,nidi,n,2,s.,3,15,2,ni,di,,,,,tidi,nibi,Le rondini hanno fatto il nido sotto la tettoia,Dove hanno fatto il nido le rondini?,Sotto la tettoia,Sotto l'albero,Sottosopra,,Le rondini hanno fatto il nido sotto la tettoia,Le rondini ... fatto il nido sotto la tettoia,HANNO,ANNO,,par_F_plur,Le ... hanno fatto il nido sotto la tettoia,rondine,rondini,,merli,,Sotto la tettoia c'era un nido di rondini,Sotto la tettoia ... un nido di rondini,1,0,0,NO,PASSATO,c'era,ci saranno,c'è,CVCV,,nidi,,,,,,,
633,1,1,nocciola,n,1,s.,2,6,3,noc,cio,la,,,,facciola,noccialo,In gelateria c'era il gelato alla nocciola o al pistacchio,Dove era il gelato?,Gelateria,Cono,Pasticceria,,In gelateria c'era il gelato alla nocciola o al pistacchio,In gelateria c'era il gelato alla nocciola ... al pistacchio,O,HO,,par_M_sing,Il ... alla nocciola era squisito,cucina,,gelato,coni,,Ieri in freezer c'era il gelato alla nocciola,Ieri in freezer ... il gelato alla nocciola,1,0,0,SI,PASSATO,c'era,ci sono,c'è,CVCCVVCV,,nocciola,,1,,,1,,
634,1,1,nocciolina,n,1,s.,2,0,4,noc,cio,li,na,,,guttiolina,nocciereso,Il ghiro ha mangiato la nocciolina sull'albero,Cosa ha mangiato il ghiro?,Nocciolina,Ghianda,Guscio,,Il ghiro ha mangiato una nocciolina sull'albero,Il ghiro ... mangiato una nocciolina sull'albero,HA,A,,par_F_sing,Lo scoiattolo ha mangiato la... sull'albero,nocciolina,noci,,anacardi,,,,,,,,,,,,CVCCVVCVCV,,nocciolina,,1,,,1,,
635,1,1,nodo,n,2,s.,3,49,2,no,do,,,,,bodo,nobo,"C'era un nodo al fazzoletto, per ricordarmi una promessa",Perchè c'era un nodo al fazzoletto?,Per una promessa,Per punizione,Per sbaglio,,La cravatta ha un nodo,La cravatta ... un nodo,HA,A,,par_M_plur,I ... esistenti sono davvero molti e di varia complessità,,vele,nodo,nodi,,"C'era un nodo al fazzoletto, per ricordarmi una promessa","... un nodo al fazzoletto, per ricordarmi una promessa",1,0,0,NO,PASSATO,c'era,ci sarà,ci sono,CVCV,,nodo,,,,,,,
636,,1,nota,n,2,s.,1,252,2,no,ta,,,,,bota,noge,La maestra ha dato la nota disciplinare,Cosa ha dato la maestra?,Nota,Nave,Compiti,,La maestra ha dato la nota disciplinare a Clara,La maestra ... dato la nota disciplinare a Clara,HA,A,,par_F_sing,La maestra ha dato la ... disciplinare,nota,,esercizio,compiti,,Se ti comporti male ci sarà una nota sul tuo diario,Se ti comporti male ... una nota sul tuo diario,0,0,1,NO,FUTURO,ci sarà,c'è,ci saranno,CVCV,,nota,,,,,,,
637,1,1,notte,n,1,s.,3,1089,2,not,te,,,,,borte,notto,La prossima notte ci saranno tante stelle nel cielo,Quando ci saranno tante stelle nel cielo?,Prossima notte,Prossimo mese,Prossima estate,,,,,,,,,,,,,,La prossima notte ci saranno tante stelle nel cielo,La prossima notte ... tante stelle nel cielo,0,0,1,SI,FUTURO,ci saranno,c'è,c'erano,CVCCV,,notte,,,,,,,
638,1,1,nuvola,n,2,s.,3,24,3,nu,vo,la,,,,vonula,nulavo,Le nuvole hanno varie forme con uno nome specifico,Cos'ha varie forme con un nome specifico?,Le nuvole,Le foglie,Le valvole,,Le nuvole hanno varie forme con un nome specifico,Le nuvole ... varie forme con un nome specifico,HANNO,ANNO,,par_F_plur,Le ... sembrano soffici ,nuvola,nuvole,,conigli,,Ci sono tante nuvole nel cielo oggi,... tante nuvole nel cielo oggi,0,1,0,NO,PRESENTE,ci sono,c'erano,ci saranno,CVCVCV,,nuvola,,,,,,,
639,,4,naturalmente,n,2,avv,1,467,5,na,tu,ral,men,te,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVCVCCVCCV,,naturalmente,,,,,,,
640,,4,neanche,n,2,avv,1,358,3,ne,an,che,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVVCCCV,,neanche,,,,,,,
641,,4,neppure,n,1,avv,1,472,3,nep,pu,re,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCCVCV,,neppure,,,,,,,
642,,4,niente,n,2,avv,1,1079,2,nien,te,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVVCCV,,niente,,,,,,,
643,,4,normalmente,n,2,avv,3,82,4,nor,mal,men,te,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCCVCCVCCV,,normalmente,,,,,,,
644,,4,nuovamente,n,2,avv,3,97,4,nuo,va,men,te,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVVCVCVCCV,,nuovamente,,,,,,,
645,,2,nascere,n,2,v,1,107,3,na,sce,re,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCCVCV,,nascere,,,,,,,
646,,2,nascondere,n,2,v,1,85,4,na,scon,de,re,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCCVCCVCV,,nascondere,,,,,,,
647,,2,navigare,n,2,v,3,12,4,na,vi,ga,re,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVCVCV,,navigare,,,,,,,
648,,2,necessitare,n,1,v,3,0,5,ne,ces,si,ta,re,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVCCVCVCV,,necessitare,,,,,,,
649,,2,negare,n,2,v,1,46,3,ne,ga,re,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVCV,,negare,,,,,,,
650,,2,nevicare,n,2,v,2,2,4,ne,vi,ca,re,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVCVCV,,nevicare,,,,,,,
651,,2,noleggiare,n,1,v,2,5,4,no,leg,gia,re,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVCCVVCV,,noleggiare,,,,,,,
652,,2,nominare,n,2,v,1,33,4,no,mi,na,re,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVCVCV,,nominare,,,,,,,
653,,2,notare,n,2,v,1,119,3,no,ta,re,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVCV,,notare,,,,,,,
654,,2,nuotare,n,2,v,3,23,3,nuo,ta,re,,,,croscare,nuotife,Lo scorso sabato dei bambini nuotavano nel lago,Quando dei bambini nuotavano nel lago?,Lo scorso sabato,Il prossimo sabato,Sabato prossimo,,Simone dopo vorrà nuotare o giocare?,Simone dopo vorrà nuotare ... giocare?,O,HO,,,,,,,,,Lo scorso sabato c'erano dei bambini che nuotavano nel lago,Lo scorso sabato ... dei bambini che nuotavano nel lago,1,0,0,SI,PASSATO,c'erano,ci sono,c'era,CVVCVCV,,nuotare,,,,,,,
655,,2,nutrire,n,2,v,3,21,3,nu,tri,re,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCCVCV,,nutrire,,,,,,,
656,,3,nascosto,n,2,agg,1,127,3,na,sco,sto,,,,trevisto,nasconti,A casa della zia ci sono dei dolci nascosti,Dove ci sono dei dolci nascosti?,Casa della zia,Casa mia,Pizzeria,,A casa della zia ci sono dei dolci nascosti,... casa della zia ci sono dei dolci nascosti,A,HA,,,,,,,,,A casa della zia ci sono dei dolci nascosti,A casa della zia ... dei dolci nascosti,0,1,0,NO,PRESENTE,ci sono,c'era,ci saranno,CVCCVCCV,,nascosto,,,,,,,
657,,3,natalizio,n,2,agg,3,15,5,na,ta,li,zi,o,,metalizio,natalofio,Il clima natalizio è il più bello dell'anno,Quale è il clima più bello dell'anno?,Natalizio,Autunnale ,Estivo,,A Dicembre c'è un bel clima natalizio,... Dicembre c'è un bel clima natalizio,A,HA,,par_M_sing,Il ... natalizio è il più bello dell'anno,festa,,periodo,dolci,,A Dicembre c'è un bel clima natalizio,A Dicembre ... un bel clima natalizio,0,1,0,NO,PRESENTE,c'è,ci saranno,ci sono,CVCVCVCVV,,natalizio,,,,,,,
658,,3,naturale,n,2,agg,1,325,4,na,tu,ra,le,,,ratunale,naraletu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVCVCV,,naturale,,,,,,,
659,,3,necessario,n,1,agg,1,341,4,ne,ces,sa,rio,,,cessanerio,neriosasce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVCCVCVV,,necessario,,,,,,,
660,,3,negativo,n,2,agg,1,104,4,ne,ga,ti,vo,,,tiganevo,netivoga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVCVCV,,negativo,,,,,,,
661,,3,nemico,n,2,agg,1,123,3,ne,mi,co,,,,muneco,necomi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVCV,,nemico,,,,,,,
662,,3,nero,n,2,agg,1,476,2,ne,ro,,,,,naro,netu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCV,,nero,,,,,,,
663,,3,nervoso,n,2,agg,1,64,3,ner,vo,so,,,,ovrenso,nesovro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCCVCV,,nervoso,,,,,,,
664,,3,nessuno,n,1,agg,1,1313,3,nes,su,no,,,,pirbuno,nessize,Nessuno vuole essere messo in punizione,Nessuno vuole essere messo ...,In punizione,In castigo,In previsione,,Nessuno ha intenzione di fare del male a Filippo,Nessuno ha intenzione di fare del male ... Filippo,A,HA,,,,,,,,,Non c'è nessuno che voglia fare del male ad altri,Non ... nessuno che voglia fare del male ad altri,0,1,0,NO,PRESENTE,c'è,ci sono,c'era,CVCCVCV,,nessuno,,,,,,,
665,,3,nocivo,n,2,agg,2,5,3,no,ci,vo,,,,cinovo,novico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVCV,,nocivo,,,,,,,
666,,3,noioso,n,2,agg,3,31,3,no,io,so,,,,inioso,noifro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVVVCV,,noioso,,,,,,,
667,,3,nostro,n,2,agg,1,1166,2,no,stro,,,,,stonro,notroi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCCCV,,nostro,,,,,,,
668,,3,notevole,n,2,agg,3,108,4,no,te,vo,le,,,vonotele,notolete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVCVCV,,notevole,,,,,,,
669,,3,notturno,n,1,agg,3,40,3,not,tur,no,,,,quatturno,noddatri,Il lavoro notturno è faticoso,Quale tipo di lavoro è faticoso?,Notturno,Giornaliero,Volturno,,Gli animali notturni hanno un metabolismo differente,Gli animali notturni ... un metabolismo differente,HANNO,ANNO,,,,,,,,,Ci sono degli animali notturni in Africa,... degli animali notturni in Africa,0,1,0,NO,PRESENTE,ci sono,c'era,c'erano,CVCCVCCV,,notturno,,,,,,,
670,,3,numeroso,n,2,agg,1,927,4,nu,me,ro,so,,,romenuso,nuosomero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVCVCV,,numeroso,,,,,,,
671,,3,nuvoloso,n,2,agg,2,3,4,nu,vo,lo,so,,,fasiloso,nuvotegi,Ieri il cielo era nuvoloso,Com'era il cielo ieri?,Nuvoloso,Terso,Noioso,,,,,,,par_F_plur,Ieri c'erano le ... nel cielo,,nuvole,sole,venti,,Domani ci sarà un cielo nuvoloso,Domani ... un cielo nuvoloso,0,0,1,SI,FUTURO,ci sarà,ci sono,c'erano,CVCVCVCV,,nuvoloso,,,,,,,
672,,1,narvalo,n,2,s.,4,0,3,nar,va,lo,,,,mosvalo,nargole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCCVCV,,narvalo,1,,,,,,
673,,1,noce,n,2,s.,4,36,2,no,ce,,,,,boce,noge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCV,,noce,,1,,,1,,
674,,1,nacchere,n,1,s.,4,2,3,nac,che,re,,,,bacchere,nacchiva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCCCVCV,,nacchere,,,,,,,
675,,1,narciso,n,2,s.,4,7,3,nar,ci,so,,,,merciso,narsoci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCCVCV,,narciso,,1,,,,,
676,,1,narice,n,2,s,4,1,3,na,ri,ce,,,,tarice,nareci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVCV,,narice,,,1,,,,
677,,1,occhiale,o,1,s.,1,81,3,oc,chia,le,,,,agghiale,occhiote,Giovanni ha indossato gli occhiali per tanti anni,Chi ha indossato gli occhiali per tanti anni?,Giovanni,Giovani,Giorgio,,Giovanni a casa indossagli occhiali,Giovanni ... casa indossagli occhiali,A,HA,,par_F_plur,Giovanni ha indossato le ... per tanti anni,,lenti,occhio,occhiali,,,,,,,,,,,,VCCCVVCV,,occhiale,,,,1,,,
678,,1,occhio,o,1,s.,1,335,2,oc,chio,,,,,agghio,occhie,I suoi occhi sono blu intenso,Cosa è di colore blu intenso?,I suoi occhi,I suoi fiumi,Gli occhiali,,Gli occhi hanno molti colori o forme ,Gli occhi hanno molti colori ... forme ,O,HO,,par_M_plur,I suoi ... sono blu intenso,,orecchie,occhio,occhi,,"In quel cartone, ci sono degli esseri con tre occhi","In quel cartone, ... degli esseri con tre occhi",0,1,0,NO,PRESENTE,ci sono,c'erano,c'era,VCCCVV,,occhio,,,1,,,,
679,,1,olio,o,2,s,1,293,2,o,lio,,,,,blio,oloi,Ci sarà olio per tutto l'anno ,Ci sarà,Olio,Olmi,Odio,,Ci sarà olio per tutto l'anno,Ci sarà olio per tutto l'...,ANNO,HANNO,,par_F_plur,Grazie all'abbondante raccolta di olive ci sarà olio per tutte le ...,foglia,stagioni,,alberi,,Ci sarà olio per tutto l'anno,... olio per tutto l'anno,0,0,1,NO,FUTURO,ci sarà,ci sono,ci saranno,VCVV,,olio,,,,,1,,
680,1,1,oliva,o,2,s.,3,48,3,o,li,va,,,,ilova,oltva,Le olive crescono sugli alberi e vengono raccolte a mano,Come vengono raccolte le olive?,A mano,A macchina,Vano,,Le olive crescono sugli alberi e vengono raccolte a mano,Le olive crescono sugli alberi e vengono raccolte ... mano,A,HA,,par_F_plur,Le ... crescono sugli alberi e vengono raccolte a mano,oliva,olive,,panni,,C'erano le olive sulla mia pizza sabato scorso,... le olive sulla mia pizza sabato scorso,1,0,0,SI,PASSATO,c'erano,ci sono,c'era,VCVCV,,oliva,,1,,,1,,
681,,1,ombelico,o,2,s.,2,9,4,om,be,li,co,,,ordelico,ombecoli,Chiunque ha l'ombelico,Chi ha l'ombelico?,Chiunque,Qualcuno,Nessuno,,Chiunque ha l'ombelico,Chiunque ... l'ombelico,HA,A,,par_M_plur,Gli ... hanno forme particolari e diverse in ciascuno di noi,,prove,ombelico,ombelichi,,Non c'è l'ombelico nei rettili,Non ... l'ombelico nei rettili,0,1,0,NO,PRESENTE,c'è,ci sarà,ci sono,VCCVCVCV,,ombelico,,,1,,,,
